StateAbbr,PlaceName,PlaceFIPS,Binge rate,Cancer rate,Diabetes rate,Mental health rate,Obesity rate,Sleep rate
GA,Roswell,1367284,19.4,6.3,7.6,10.1,24.4,32.2
GA,Sandy Springs,1368516,19.5,5.9,7,10,24.1,32.8
GA,Savannah,1369000,14.6,5.5,12.1,14,35.9,41.9
GA,Warner Robins,1380508,15,5.4,10.9,14.3,38.2,38.7
HI,Honolulu,15003,19.3,5.4,11.2,10.5,23.4,47.4
ID,Boise City,1608830,16.8,6.2,7.4,11.9,27.7,27.8
ID,Meridian,1652120,17.7,5.9,6.8,11.6,27.9,27.5
ID,Nampa,1656260,14.8,6,9.4,14,35.9,32.9
IL,Arlington Heights,1702154,22.4,7.7,7.9,9.9,24,29.9
IL,Aurora,1703012,20.3,4.7,9.6,12.8,32.7,34
IL,Bloomington,1706613,20.7,6,8.4,11.9,32.2,33.1
IL,Bolingbrook,1707133,20.4,4.8,9.4,11.3,33.7,33.6
IL,Champaign,1712385,21.4,4.3,6.7,12.2,33.6,30.6
IL,Chicago,1714000,21.5,5,11,12.7,32.3,35.9
IL,Cicero,1714351,21.7,3.9,11.4,14.4,35.1,35.6
IL,Decatur,1718823,16.9,7.5,12.4,15.4,37.8,35.5
IL,Elgin,1723074,21,5.3,9.6,12.6,31,33.9
IL,Evanston,1724582,23.2,5.8,7.3,10.1,24.9,31.4
IL,Joliet,1738570,20.9,5.3,10,13.6,36.8,34.2
IL,Naperville,1751622,20.3,6,7.5,9.3,27.1,29.5
IL,Palatine,1757225,23.9,5.9,7.5,10.4,25.4,30.8
IL,Peoria,1759000,18.4,6.5,10.9,13.9,36.4,34.2
IL,Rockford,1765000,18.3,6.8,12.2,15.2,35.2,39.3
IL,Schaumburg,1768003,22.9,6.1,7.6,9.9,23.4,31.4
IL,Springfield,1772000,19,7.1,10.7,13.8,34.7,34.7
IL,Waukegan,1779293,18.1,4.7,12,14.4,35.2,37.5
IN,Bloomington,1805860,19.1,3.8,5.9,15.1,25.6,33.8
IN,Carmel,1810342,17.8,6.8,8.2,9.9,26.8,29.3
IN,Evansville,1822000,17.1,6.9,12.1,17.8,35.7,36.9
IN,Fishers,1823278,20.7,5.2,6.4,10.1,27.7,29.7
IN,Fort Wayne,1825000,16.8,6.4,11.2,15.6,35,32.9
IN,Gary,1827000,11.7,6.2,22.6,18.4,49.3,48.8
IN,Hammond,1831000,16.8,5.7,14,16.3,39.1,41.1
IN,Indianapolis,1836003,17.6,5.7,11.7,14.8,35.4,36.3
IN,Lafayette,1840788,19,6.1,10.2,16.4,35.2,34.5
IN,Muncie,1851876,15.4,5.7,10.6,17.9,35.6,37.8
IN,South Bend,1871000,16.9,6.5,12.5,16.7,37.9,40.8
